request_id,submitted_date,department,request_type,priority,status,assigned_team,region,estimated_cost,actual_cost,resolution_date,customer_satisfaction_score,description
REQ-1001,2026-01-03,Engineering,System Access,High,open,Infrastructure,North,500,450,2026-01-05,5,New employee needs system access
REQ-1002,2026-01-04,Finance,Report Issue,medium,InProgress,Analytics,South,300,325,2026-01-07,4,Monthly report numbers do not match
REQ-1003,2026-01-05,Operations,Equipment Request,LOW,Closed,Field Support,East,1200,1100,2026-01-09,3,Replacement scanner requested
REQ-1004,2026-01-06,,Data Correction,High,Complete,Data Quality,West,150,100,2026-01-08,5,Incorrect department listed in system
REQ-1005,not-a-date,HR,System Access,Critical,OPEN,Infrastructure,North,400,375,2026-01-10,4,Access needed for onboarding
REQ-1006,2026-01-08,Engineering,Project Update,hgh,Open,Project Controls,South,250,275,2026-01-11,6,Project milestone update request
REQ-1007,2026-01-09,Finance,Report Issue,Medium,in-progress,Analytics,East,350,-25,2026-01-12,2,Report refresh failed
REQ-1008,2026-01-10,Operations,Equipment Request,Low,Resolved,Field Support,West,900,850,2026-01-09,4,Printer replacement completed
REQ-1009,2026-01-11,Engineering,Data Correction,High,closed,Data Quality,North,100,95,2026-01-13,5,Duplicate project record fixed
REQ-1009,2026-01-12,Engineering,Data Correction,High,Closed,Data Quality,North,100,95,2026-01-14,5,Duplicate request id example
,2026-01-13,Finance,Report Issue,Medium,Open,Analytics,South,200,180,,3,Missing request id example
REQ-1011,2026-01-14,HR,System Access,Critical,In Progress,Infrastructure,East,450,425,2026-01-17,4,Manager access approval needed
REQ-1012,2026-01-15,Operations,,Low,Open,Field Support,West,600,550,2026-01-19,5,Missing request type example
REQ-1013,2026-01-16,Engineering,Project Update,Medium,Complete,Project Controls,North,700,650,2026-01-20,4,Project status update
REQ-1014,2026-01-17,Finance,Report Issue,High,Pending,Analytics,South,300,310,2026-01-21,3,Pending should be invalid status
